body,brain,label
36330.0,119.5,Grey wolf
3000.0,25.0,Echidna
27660.0,115.0,Goat
9400000.0,70.0,Triceratops
3600.0,21.0,Rock hyrax-b
3500.0,10.8,Nine-banded armadillo
3385.0,44.5,Artic fox
10000.0,115.0,Potar monkey
1700.0,6.3,N.A. opossum
11700000.0,50.0,Dipliodocus
1350.0,8.1,Mountain beaver
23.0,0.3,Big brown bat
200.0,5.0,Galago
2500.0,12.1,Rabbit
192000.0,180.0,Pig
48.0,0.3,Musk shrew
122.0,3.0,Mole
4050.0,17.0,Yellow-bellied marmot
160000.0,169.0,Brazilian tapir
52160.0,440.0,Chimpanzee
3300.0,25.6,Cat
101.0,4.0,Ground squirrel
480.0,15.5,Owl monkey
2000.0,12.3,Tree hyrax
87000000.0,154.5,Brachiosaurus
207000.0,406.0,Gorilla
10550.0,179.5,Baboon
14830.0,98.2,Roe deer
521000.0,655.0,Horse
900.0,2.6,Tenrec
6654000.0,5712.0,African elephant
3500.0,3.9,Water opossum
550.0,2.4,Desert hedgehog
60.0,1.0,Star-nosed mole
750.0,12.3,Rock hyrax-a
1000.0,6.6,African giant pouched rat
250000.0,490.0,Okapi
104.0,2.5,Tree shrew
425.0,6.4,Chinchilla
1620.0,11.4,Phalanger
4235.0,50.4,Red fox
785.0,3.5,European hedgehog
60000.0,81.0,Giant armadillo
100000.0,157.0,Jaguar
465000.0,423.0,Cow
4288.0,39.2,Raccoon
10.0,0.2,Little brown bat
280.0,1.9,Rat
62000.0,1320.0,Human
1410.0,17.5,Genet
75.0,1.2,E. American mole
1400.0,12.5,Slow loris
4190.0,58.0,Verbet
85000.0,325.0,Grey seal
1040.0,5.5,Guinea pig
920.0,5.7,Artic ground squirrel
120.0,1.0,Golden hamster
6800.0,179.0,Rhesus monkey
2547000.0,4603.0,Asian elephant
529000.0,680.0,Giraffe
23.0,0.4,Mouse
5.0,0.1,Lesser short-tailed shrew
187100.0,419.0,Donkey
55500.0,175.0,Sheep
35000.0,56.0,Kangaroo
